,concentration,T2_C_conc,T2_C_err_conc,T2_C_trueerr_conc
26,1.197979797979798,0.9692374412745036,0.006601150694151404,0.2590482402995491
27,1.2363636363636363,0.9877918872470555,0.008359244669061844,0.2656390158089781
28,1.2747474747474745,0.8668324573086653,0.009638974172668529,0.23541371388486632
29,1.313131313131313,0.5141275287733346,0.011680681969297448,0.14559007588847545
30,1.3515151515151513,0.2866892734294912,0.0068077111496617024,0.08147865308437764
31,1.3898989898989897,0.679362864884082,0.011170709771012102,0.18811721505711884
32,1.4282828282828282,0.6731651718764379,0.00431900816097074,0.179651265487372
33,1.4666666666666666,0.5956916125654976,0.011477236641980765,0.16663077022479642
34,1.505050505050505,0.6122629717867116,0.02030976310462966,0.17977946445816212
35,1.5434343434343434,0.5981722851517236,0.014405997793120403,0.17020564609250452
36,1.5818181818181818,0.4825655889360724,0.00795592348926473,0.13364471065625175
37,1.62020202020202,0.5027176400598007,0.006496729698434069,0.13743430982277402
38,1.6585858585858584,0.40338089930485627,0.007780448950786701,0.11284483224371232
39,1.6969696969696968,0.48838395461234624,0.018121939737384192,0.1453261754608197
40,1.7353535353535352,0.44655956811757463,0.010102196526941193,0.12641287387601952
41,1.7737373737373736,0.31732389348492257,0.014681118539215224,0.0973311379887158
42,1.812121212121212,0.3235668524092434,0.01297834837423679,0.09725440572101303
43,1.8505050505050504,0.43666837523177005,0.017054615676341936,0.1307890379712784
44,1.8888888888888886,0.5661589364694926,0.002058895271918118,0.14952036310158684
45,1.927272727272727,0.3382513332918547,0.008473628121176776,0.09657439786897903
46,1.9656565656565654,0.3373247151589274,0.01187980522863021,0.09973922849014169
47,2.004040404040404,0.43174843110733363,0.006220377806768151,0.1186733539644176
48,2.0424242424242425,0.4470757513870462,0.009854541065669228,0.1262996632458405
49,2.080808080808081,0.1731295742324655,0.014039715610296998,0.059132956212038575
50,2.1191919191919193,0.5288637455251877,0.004351477768045246,0.14209905918636467
51,2.1575757575757577,0.30849132848548916,0.012807588833055277,0.09315708290775664
